Price,Close,High,Low,Open,Volume
Ticker,^NSMIDCP,^NSMIDCP,^NSMIDCP,^NSMIDCP,^NSMIDCP
Date,,,,,
2023-02-09,38767.25,38896.5,38680.25,38894.6484375,433700
2023-02-10,38735.3984375,38799.44921875,38576.94921875,38683.44921875,382400
2023-02-13,38177.1015625,38699.19921875,38138.30078125,38674.75,228700
2023-02-14,38134.8515625,38215.3984375,37952.3984375,38130.30078125,231500
2023-02-15,38405.19921875,38449.1015625,38013.0,38042.44921875,167300
2023-02-16,38680.1015625,38749.1484375,38457.19921875,38488.55078125,227200
2023-02-17,38439.3984375,38672.0,38357.8515625,38526.8984375,197600
2023-02-20,38319.30078125,38514.55078125,38191.80078125,38447.6015625,273000
2023-02-21,38248.25,38469.5,38203.44921875,38417.6015625,259800
2023-02-22,37698.0,38074.3515625,37574.0,38074.3515625,222400
2023-02-23,37536.30078125,37730.19921875,37290.30078125,37709.19921875,301700
2023-02-24,37504.19921875,37721.44921875,37382.69921875,37622.25,235000
2023-02-27,37153.1484375,37387.25,36850.75,37372.5,212000
2023-02-28,37252.55078125,37390.0,37054.5,37159.6015625,475800
2023-03-01,37686.6484375,37713.25,37294.1484375,37294.1484375,203100
2023-03-02,37665.6015625,37756.5,37552.80078125,37724.25,171200
2023-03-03,38008.05078125,38097.6484375,37865.05078125,37921.44921875,240600
2023-03-06,38310.55078125,38406.3515625,38222.0,38234.94921875,222700
2023-03-08,38452.80078125,38483.44921875,38022.1015625,38209.80078125,191300
2023-03-09,38171.8515625,38643.80078125,38124.6484375,38570.30078125,170200
2023-03-10,38083.19921875,38115.75,37693.80078125,37935.0,179900
2023-03-13,37594.94921875,38268.25,37535.6015625,38101.05078125,199700
2023-03-14,37375.55078125,37669.19921875,37150.3984375,37611.94921875,230300
2023-03-15,37354.0,37647.8984375,37302.25,37586.6015625,181700
2023-03-16,37579.1484375,37685.1484375,36926.8515625,37348.8984375,677000
2023-03-17,37787.3515625,37987.1015625,37727.8515625,37895.69921875,420200
2023-03-20,37512.44921875,37680.25,37254.1484375,37572.1484375,269800
2023-03-21,37728.69921875,37796.6484375,37497.5,37690.25,203200
2023-03-22,37973.0,38061.3515625,37876.8515625,37895.30078125,0
2023-03-23,37818.55078125,37989.69921875,37779.1015625,37894.6015625,205500
2023-03-24,37528.55078125,37951.25,37472.55078125,37929.0,260000
2023-03-27,37334.0,37696.94921875,37287.1484375,37570.8984375,262200
2023-03-28,36982.30078125,37328.6015625,36895.6484375,37319.3984375,248000
